year,departamento,municipio ,jrv,inscritos,total_votos,total_porcentaje,nulos,nulos_porcentaje,validos,validos_porcentaje
1990,Nueva Segovia,Jalapa,36,14257,13021,0.9133,1002,0.077,12019,0.923
1990,Nueva Segovia,Santa María,4,1245,1087,0.8731,112,0.103,975,0.897
1990,Nueva Segovia,Macuelizo,4,1686,1392,0.8256,135,0.097,1257,0.903
1990,Nueva Segovia,Dipilto,5,1348,1182,0.8769,99,0.0838,1083,0.9162
1990,Nueva Segovia,Ocotal,30,10274,9200,0.8955,420,0.0457,8780,0.9543
1990,Nueva Segovia,Mozonte,3,1565,1361,0.8696,90,0.0661,1271,0.9339
1990,Nueva Segovia,San Fernando,8,2346,2069,0.8819,100,0.0483,1969,0.9517
1990,Nueva Segovia,Ciudad Antigua,4,1223,1076,0.8798,123,0.1143,953,0.8857
1990,Nueva Segovia,El Jícaro,13,7443,6680,0.8975,545,0.0816,6135,0.9184
1990,Nueva Segovia,Murra,4,1668,1400,0.8393,114,0.0814,1286,0.9186
1990,Nueva Segovia,Quilalí,16,6787,5942,0.8755,548,0.0922,5394,0.9078
1990,Madriz,Somoto,35,11819,10648,0.9009,656,0.0616,9992,0.9384
1990,Madriz,Yalagüina,9,3264,2992,0.9167,223,0.0745,2769,0.9255
1990,Madriz,Totogalpa,8,3605,3022,0.8383,215,0.0711,2807,0.9289
1990,Madriz,Palacagüina,17,5556,4907,0.8832,274,0.0558,4633,0.9442
1990,Madriz,Telpaneca,15,4986,4342,0.8708,607,0.1398,3735,0.8602
1990,Madriz,San Juan del Río Coco,16,6672,5487,0.8224,656,0.1196,4831,0.8804
1990,Madriz,San Lucas,14,4165,3738,0.8975,303,0.0811,3435,0.9189
1990,Madriz,Las Sabanas,4,1211,1143,0.9438,75,0.0656,1068,0.9344
1990,Madriz,San José de Cusmapa,4,1569,1379,0.8789,118,0.0856,1261,0.9144
1990,Estelí,Pueblo Nuevo,25,8920,8042,0.9016,572,0.0711,7470,0.9289
1990,Estelí,Condega,31,11050,9716,0.8793,732,0.0753,8984,0.9247
1990,Estelí,San Juan de Limay,15,5662,4944,0.8732,359,0.0726,4585,0.9274
1990,Estelí,Estelí,108,39857,35621,0.8937,1637,0.046,33984,0.954
1990,Estelí,San Nicolás,7,2402,2147,0.8938,91,0.0424,2056,0.9576
1990,Estelí,La Trinidad,26,8550,7685,0.8988,743,0.0967,6942,0.9033
1990,Chinandega,San Pedro del Norte,3,1467,1229,0.8378,59,0.048,1170,0.952
1990,Chinandega,Santo Tomás del Norte,8,2578,2142,0.8309,140,0.0654,2002,0.9346
1990,Chinandega,Cinco Pinos,8,2993,2595,0.867,96,0.037,2499,0.963
1990,Chinandega,San Francisco del Norte,7,2606,2283,0.8761,80,0.035,2203,0.965
1990,Chinandega,El Viejo,69,28660,23265,0.8118,1375,0.0591,21890,0.9409
1990,Chinandega,Puerto Morazán,12,4873,3846,0.7892,181,0.0471,3665,0.9529
1990,Chinandega,Somotillo,24,9970,8809,0.8836,475,0.0539,8334,0.9461
1990,Chinandega,Villanueva,19,8143,6813,0.8367,368,0.054,6445,0.946
1990,Chinandega,Corinto,24,8638,7765,0.8989,179,0.0231,7586,0.9769
1990,Chinandega,El Realejo,6,2970,2495,0.8401,165,0.0661,2330,0.9339
1990,Chinandega,Chinandega,95,46888,39669,0.846,1514,0.0382,38155,0.9618
1990,Chinandega,Chichigalpa,43,19806,17433,0.02,779,0.0447,16654,0.9553
1990,Chinandega,Posoltega,15,5927,5022,0.86,321,0.0639,4701,0.9361
1990,León,Achuapa,13,5785,5041,0.8714,223,0.0442,4818,0.9558
